,date,Error
0,145726800,145726796
1,145726860,145726860
2,145726920,145726899
3,145726980,145726996
4,145727040,145727023
5,145727100,145727092
6,145727160,145727165
7,145727220,145727208
8,145727280,145727270
9,145727340,145727331
10,145727400,145727405
11,145727460,145727482
12,145727520,145727520
13,145727580,145727569
14,145727640,145727645
15,145727700,145727695
16,145727760,145727760
17,145727820,145727831
18,145727880,145727873
19,145727940,145727940
20,145728000,145727992
21,145728060,145728059
22,145728120,145728122
23,145728180,145728171
24,145728240,145728237
25,145728300,145728298
26,145728360,145728354
27,145728420,145728409
28,145728480,145728466
29,145728540,145728539
30,145728600,145728598
31,145728660,145728682
32,145728720,145728696
33,145728780,145728781
34,145728840,145728843
35,145728900,145728913
36,145728960,145728965
37,145729020,145729012
38,145729080,145729080
39,145729140,145729145
40,145729200,145729197
41,145729260,145729267
42,145729320,145729302
43,145729380,145729397
44,145729440,145729454
45,145729500,145729497
46,145729560,145729566
47,145729620,145729620
48,145729680,145729672
49,145729740,145729740
50,145729800,145729810
51,145729860,145729857
52,145729920,145729917
53,145729980,145729980
54,145730040,145730044
55,145730100,145730112
56,145730160,145730154
57,145730220,145730225
58,145730280,145730282
59,145730340,145730322
60,145730400,145730396
61,145730460,145730459
62,145730520,145730520
63,145730580,145730583
64,145730640,145730620
65,145730700,145730700
66,145730760,145730754
67,145730820,145730806
68,145730880,145730885
69,145730940,145730947
70,145731000,145730994
71,145731060,145731068
72,145731120,145731117
73,145731180,145731180
74,145731240,145731230
75,145731300,145731315
76,145731360,145731334
77,145731420,145731420
78,145731480,145731486
79,145731540,145731520
80,145731600,145731599
81,145731660,145731660
82,145731720,145731728
83,145731780,145731792
84,145731840,145731836
85,145731900,145731887
86,145731960,145731973
87,145732020,145732032
88,145732080,145732076
89,145732140,145732143
90,145732200,145732203
91,145732260,145732265
92,145732320,145732322
93,145732380,145732394
94,145732440,145732423
95,145732500,145732510
96,145732560,145732563
97,145732620,145732618
98,145732680,145732691
99,145732740,145732717
100,145732800,145732811
101,145732860,145732863
102,145732920,145732909
103,145732980,145732984
104,145733040,145733037
105,145733100,145733125
106,145733160,145733178
107,145733220,145733224
108,145733280,145733273
109,145733340,145733335
110,145733400,145733397
111,145733460,145733455
112,145733520,145733511
113,145733580,145733575
114,145733640,145733638
115,145733700,145733695
116,145733760,145733754
117,145733820,145733811
118,145733880,145733905
119,145733940,145733926
120,145734000,145733990
121,145734060,145734064
122,145734120,145734117
123,145734180,145734184
124,145734240,145734247
125,145734300,145734312
126,145734360,145734367
127,145734420,145734411
128,145734480,145734491
129,145734540,145734523
130,145734600,145734599
131,145734660,145734656
132,145734720,145734710
133,145734780,145734785
134,145734840,145734839
135,145734900,145734910
136,145734960,145734946
137,145735020,145735028
138,145735080,145735084
139,145735140,145735141
140,145735200,145735186
141,145735260,145735258
142,145735320,145735305
143,145735380,145735360
144,145735440,145735472
145,145735500,145735509
146,145735560,145735577
147,145735620,145735616
148,145735680,145735686
149,145735740,145735746
150,145735800,145735806
151,145735860,145735860
152,145735920,145735918
153,145735980,145735960
154,145736040,145736046
155,145736100,145736104
156,145736160,145736171
157,145736220,145736218
158,145736280,145736297
159,145736340,145736336
160,145736400,145736388
161,145736460,145736469
162,145736520,145736516
163,145736580,145736568
164,145736640,145736641
165,145736700,145736707
166,145736760,145736762
167,145736820,145736824
168,145736880,145736921
169,145736940,145736948
170,145737000,145737015
171,145737060,145737041
172,145737120,145737123
173,145737180,145737187
174,145737240,145737237
175,145737300,145737292
176,145737360,145737363
177,145737420,145737417
178,145737480,145737475
179,145737540,145737551
180,145737600,145737613
181,145737660,145737663
182,145737720,145737716
183,145737780,145737785
184,145737840,145737848
185,145737900,145737906
186,145737960,145737946
187,145738020,145738017
188,145738080,145738083
189,145738140,145738146
190,145738200,145738209
191,145738260,145738267
192,145738320,145738309
193,145738380,145738373
194,145738440,145738428
195,145738500,145738518
196,145738560,145738561
197,145738620,145738625
198,145738680,145738690
199,145738740,145738737
200,145738800,145738789
201,145738860,145738856
202,145738920,145738919
203,145738980,145738995
204,145739040,145739048
205,145739100,145739090
206,145739160,145739166
207,145739220,145739227
208,145739280,145739270
209,145739340,145739339
210,145739400,145739382
211,145739460,145739463
212,145739520,145739517
213,145739580,145739567
214,145739640,145739634
215,145739700,145739702
216,145739760,145739755
217,145739820,145739822
218,145739880,145739885
219,145739940,145739932
220,145740000,145739997
221,145740060,145740081
222,145740120,145740121
223,145740180,145740172
224,145740240,145740240
225,145740300,145740287
226,145740360,145740371
227,145740420,145740423
228,145740480,145740490
229,145740540,145740549
230,145740600,145740603
231,145740660,145740669
232,145740720,145740721
233,145740780,145740774
234,145740840,145740830
235,145740900,145740896
236,145740960,145740935
237,145741020,145741038
238,145741080,145741063
239,145741140,145741140
240,145741200,145741187
241,145741260,145741240
242,145741320,145741320
243,145741380,145741377
244,145741440,145741439
245,145741500,145741505
246,145741560,145741554
247,145741620,145741623
248,145741680,145741685
249,145741740,145741737
250,145741800,145741798
251,145741860,145741865
252,145741920,145741920
253,145741980,145741981
254,145742040,145742017
255,145742100,145742100
256,145742160,145742163
257,145742220,145742219
258,145742280,145742283
259,145742340,145742359
260,145742400,145742400
261,145742460,145742466
262,145742520,145742512
263,145742580,145742572
264,145742640,145742636
265,145742700,145742690
266,145742760,145742760
267,145742820,145742811
268,145742880,145742879
269,145742940,145742926
270,145743000,145742984
271,145743060,145743054
272,145743120,145743110
273,145743180,145743174
274,145743240,145743234
275,145743300,145743297
276,145743360,145743370
277,145743420,145743433
278,145743480,145743487
279,145743540,145743537
280,145743600,145743614
281,145743660,145743645
282,145743720,145743700
283,145743780,145743782
284,145743840,145743840
285,145743900,145743899
286,145743960,145743960
287,145744020,145744004
288,145744080,145744069
289,145744140,145744152
290,145744200,145744210
291,145744260,145744253
292,145744320,145744339
293,145744380,145744370
294,145744440,145744435
295,145744500,145744502
296,145744560,145744549
297,145744620,145744616
298,145744680,145744679
299,145744740,145744737
300,145744800,145744808
301,145744860,145744865
302,145744920,145744910
303,145744980,145744974
304,145745040,145745041
305,145745100,145745100
306,145745160,145745153
307,145745220,145745224
308,145745280,145745288
309,145745340,145745334
310,145745400,145745407
311,145745460,145745444
312,145745520,145745504
313,145745580,145745584
314,145745640,145745632
315,145745700,145745691
316,145745760,145745758
317,145745820,145745814
318,145745880,145745883
319,145745940,145745926
320,145746000,145745997
321,145746060,145746091
322,145746120,145746121
323,145746180,145746161
324,145746240,145746245
325,145746300,145746305
326,145746360,145746373
327,145746420,145746421
328,145746480,145746474
329,145746540,145746554
330,145746600,145746607
331,145746660,145746642
332,145746720,145746727
333,145746780,145746778
334,145746840,145746851
335,145746900,145746897
336,145746960,145746967
337,145747020,145747021
338,145747080,145747085
339,145747140,145747140
340,145747200,145747196
341,145747260,145747260
342,145747320,145747326
343,145747380,145747384
344,145747440,145747456
345,145747500,145747504
346,145747560,145747566
347,145747620,145747641
348,145747680,145747680
349,145747740,145747745
350,145747800,145747794
351,145747860,145747860
352,145747920,145747936
353,145747980,145747983
354,145748040,145748054
355,145748100,145748090
356,145748160,145748146
357,145748220,145748223
358,145748280,145748267
359,145748340,145748366
360,145748400,145748412
361,145748460,145748448
362,145748520,145748519
363,145748580,145748575
364,145748640,145748644
365,145748700,145748700
366,145748760,145748769
367,145748820,145748834
368,145748880,145748878
369,145748940,145748929
370,145749000,145749005
371,145749060,145749059
372,145749120,145749131
373,145749180,145749179
374,145749240,145749248
375,145749300,145749303
376,145749360,145749359
377,145749420,145749416
378,145749480,145749487
379,145749540,145749565
380,145749600,145749608
381,145749660,145749659
382,145749720,145749727
383,145749780,145749781
384,145749840,145749828
385,145749900,145749903
386,145749960,145749975
387,145750020,145750017
388,145750080,145750069
389,145750140,145750144
390,145750200,145750218
391,145750260,145750269
392,145750320,145750330
393,145750380,145750403
394,145750440,145750456
395,145750500,145750507
396,145750560,145750558
397,145750620,145750621
398,145750680,145750679
399,145750740,145750748
400,145750800,145750792
401,145750860,145750875
402,145750920,145750921
403,145750980,145750976
404,145751040,145751048
405,145751100,145751080
406,145751160,145751152
407,145751220,145751214
408,145751280,145751288
409,145751340,145751336
410,145751400,145751414
411,145751460,145751456
412,145751520,145751525
413,145751580,145751573
414,145751640,145751651
415,145751700,145751698
416,145751760,145751765
417,145751820,145751816
418,145751880,145751870
419,145751940,145751938
420,145752000,145752010
421,145752060,145752050
422,145752120,145752105
423,145752180,145752177
424,145752240,145752247
425,145752300,145752290
426,145752360,145752355
427,145752420,145752421
428,145752480,145752477
429,145752540,145752542
430,145752600,145752611
431,145752660,145752660
432,145752720,145752720
