,date,Error
0,146200440,146200444
1,146200500,146200508
2,146200560,146200555
3,146200620,146200630
4,146200680,146200680
5,146200740,146200729
6,146200800,146200798
7,146200860,146200869
8,146200920,146200927
9,146200980,146200973
10,146201040,146201050
11,146201100,146201103
12,146201160,146201168
13,146201220,146201227
14,146201280,146201273
15,146201340,146201347
16,146201400,146201398
17,146201460,146201479
18,146201520,146201531
19,146201580,146201584
20,146201640,146201635
21,146201700,146201704
22,146201760,146201765
23,146201820,146201812
24,146201880,146201906
25,146201940,146201947
26,146202000,146202020
27,146202060,146202053
28,146202120,146202140
29,146202180,146202171
30,146202240,146202238
31,146202300,146202309
32,146202360,146202364
33,146202420,146202401
34,146202480,146202473
35,146202540,146202552
36,146202600,146202624
37,146202660,146202673
38,146202720,146202721
39,146202780,146202791
40,146202840,146202833
41,146202900,146202909
42,146202960,146202951
43,146203020,146203023
44,146203080,146203082
45,146203140,146203152
46,146203200,146203200
47,146203260,146203276
48,146203320,146203322
49,146203380,146203392
50,146203440,146203451
51,146203500,146203486
52,146203560,146203564
53,146203620,146203624
54,146203680,146203677
55,146203740,146203745
56,146203800,146203790
57,146203860,146203869
58,146203920,146203929
59,146203980,146203987
60,146204040,146204068
61,146204100,146204107
62,146204160,146204164
63,146204220,146204217
64,146204280,146204286
65,146204340,146204335
66,146204400,146204416
67,146204460,146204458
68,146204520,146204525
69,146204580,146204603
70,146204640,146204655
71,146204700,146204706
72,146204760,146204777
73,146204820,146204823
74,146204880,146204891
75,146204940,146204944
76,146205000,146204995
77,146205060,146205068
78,146205120,146205133
79,146205180,146205180
80,146205240,146205234
81,146205300,146205299
82,146205360,146205341
83,146205420,146205418
84,146205480,146205474
85,146205540,146205564
86,146205600,146205599
87,146205660,146205649
88,146205720,146205732
89,146205780,146205782
90,146205840,146205844
91,146205900,146205905
92,146205960,146205966
93,146206020,146206020
94,146206080,146206093
95,146206140,146206149
96,146206200,146206200
97,146206260,146206262
98,146206320,146206315
99,146206380,146206386
100,146206440,146206451
101,146206500,146206510
102,146206560,146206570
103,146206620,146206622
104,146206680,146206699
105,146206740,146206741
106,146206800,146206804
107,146206860,146206860
108,146206920,146206924
109,146206980,146206981
110,146207040,146207064
111,146207100,146207108
112,146207160,146207148
113,146207220,146207220
114,146207280,146207270
115,146207340,146207352
116,146207400,146207417
117,146207460,146207460
118,146207520,146207530
119,146207580,146207581
120,146207640,146207648
121,146207700,146207721
122,146207760,146207760
123,146207820,146207812
124,146207880,146207891
125,146207940,146207949
126,146208000,146208010
127,146208060,146208074
128,146208120,146208118
129,146208180,146208165
130,146208240,146208254
131,146208300,146208300
132,146208360,146208352
133,146208420,146208413
134,146208480,146208495
135,146208540,146208545
136,146208600,146208607
137,146208660,146208672
138,146208720,146208718
139,146208780,146208773
140,146208840,146208836
141,146208900,146208893
142,146208960,146208961
